# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication_status	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
HD 30562 b	Confirmed	1.29	0.08	0.08	1.29	0.08	0.08				1157.0	27.0	27.0	2.3	0.02	0.02	0.76	0.05	0.05				0.086792	2009	2009-09-25	81.0	10.0	10.0	10131.5	14.0	14.0																															Published in a refereed paper	Radial Velocity					HD 30562	72.15	-5.6741667	5.77					26.5			0.243	0.04	0.04	1.219	0.04	0.04	1.637	0.06	0.06	F8V	4.0			5861.0	44.0	44.0			
HD 30669 b	Confirmed	0.47	0.06	0.06	0.47	0.06	0.06				1684.0	61.0	61.0	2.69	0.08	0.08	0.18	0.15	0.15					2014	2015-06-14	82.0	43.0	36.0	2457181.0	101.0	1385.0																			8.6	1.1	1.1										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 30669	72.120833343	-28.419166677	9.11					57.0	3.9	3.9	0.13	0.06	0.06	0.92	0.03	0.03	0.91	0.04	0.04	G9V	4.8	4.0	4.0	5400.0	74.0	74.0			
HD 30856 b	Confirmed	1.8	0.2	0.2	1.8	0.2	0.2				912.0	41.0	41.0	2.0	0.08	0.08	0.24	inf	nan				0.016935	2011	2011-09-02	180.0	60.0	60.0	2455260.0	150.0	150.0																															Published in a refereed paper	Radial Velocity					HD 30856	72.575	-24.3688889	8.07					118.1	9.9	9.9	-0.06	0.03	0.03	1.35	0.094	0.094	4.2	0.1	0.1	K0III	3.8	1.0	1.0	4982.0	44.0	44.0			
HD 31253 b	Confirmed	0.5	0.07	0.07	0.5	0.07	0.07				466.0	3.0	3.0	1.26	0.006	0.006	0.3	0.2	0.2				0.023411	2010	2010-11-19	244.0	23.0	23.0	10660.0																																	Published in a refereed paper	Radial Velocity					HD 31253	73.6833333	12.3522222	7.13					53.82	3.45	3.45	0.16			1.23	0.05	0.05	1.71			F8	3.0			5960.0					
HD 31527 b	Confirmed	0.0363	0.0025	0.0025	0.0363	0.0025	0.0025				16.546	0.0074	0.0074	0.1253	0.002	0.002	0.13	0.05	0.05				0.003246	2011	2011-09-12																																					Submitted to a professional journal	Radial Velocity					HD 31527	73.9083333	-23.2419444	7.48					38.6	0.9	0.9										G0V									
HD 31527 c	Confirmed	0.0498	0.00345	0.00345	0.0498	0.00345	0.00345				51.284	0.0848	0.0848	0.2665	0.0044	0.0044	0.11	0.07	0.07				0.006904	2011	2011-09-12																																					Submitted to a professional journal	Radial Velocity					HD 31527	73.9083333	-23.2419444	7.48					38.6	0.9	0.9										G0V									
HD 31527 d	Confirmed	0.0519	0.0257	0.0257	0.0519	0.0257	0.0257				274.49	7.8133	7.8133	0.8181	0.0203	0.0203	0.38	0.25	0.25				0.021194	2011	2011-09-12																																					Submitted to a professional journal	Radial Velocity					HD 31527	73.9083333	-23.2419444	7.48					38.6	0.9	0.9										G0V									
HD 3167 d	Confirmed	0.0217	0.0022	0.0022	0.0217	0.0022	0.0022				8.492	0.024	0.023	0.07757	0.00027	0.00027	0.36	0.36	0.0					2017	2017-06-28	176.0	80.0	80.0				2457806.1	0.5	0.5																2.39	0.24	0.24										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 3167	8.73966668584	4.3814722414	8.94					45.8	2.2	2.2	0.0	0.08	0.08	0.88	0.033	0.033				G	0.83	0.028	0.028	5367.0	50.0	50.0			HIP 2736, EPIC 220383386
HD 32518 b	Confirmed	3.04	0.69	0.69	3.04	0.69	0.69				157.54	0.38	0.38	0.59	0.03	0.03	0.01	0.03	0.03				0.005026	2009	2009-08-13	306.11	126.71	126.71	2452950.29	13.66	13.66																															Published in a refereed paper	Radial Velocity					HD 32518	77.4041667	69.6394444	6.44					117.4	10.7	10.7	-0.15	0.04	0.04	1.13	0.18	0.18	10.22	0.87	0.87	K1III	5.83	2.58	2.58	4580.0	70.0	70.0			
HD 32963 b	Confirmed	0.7	0.03	0.03	0.7	0.03	0.03				2372.0	26.0	26.0	3.41	0.02	0.02	0.07	0.04	0.04					2015	2015-12-02	107.0	35.0	35.0	2450532.0	324.0	324.0																			11.1	0.4	0.4										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 32963	76.983333352	26.328055571	7.6								0.11	0.05	0.05	0.94						G5IV	4.99	3.6	6.7	5727.0	32.0	32.0			
HD 330075 b	Confirmed	0.62			0.62			1.06			3.6413	0.00187	0.00187	0.039			0.0187	0.0684	0.0187				0.000777	2004	2015-02-25	38.2	91.2	91.2	2452968.399																		2452878.815	0.003	0.003	97.84	8.79	8.79										Published in a refereed paper	Radial Velocity	Radial Velocity	Theoretical			HD 330075	237.4041667	-49.9633333	9.36					50.2			0.03			0.95						G5	6.21			6295.0					
HD 33142 b	Confirmed	1.3	0.1	0.1	1.3	0.1	0.1				326.6	3.9	3.9	1.06	0.03	0.03	0.22	inf	nan				0.008413	2011	2011-09-02	138.0	60.0	60.0	2455324.0	60.0	60.0																															Published in a refereed paper	Radial Velocity					HD 33142	76.9	-13.9863889	8.13					126.0	11.0	11.0	0.05	0.03	0.03	1.48	0.1	0.1	4.2	0.1	0.1	K0III	3.0	0.4	0.4	5052.0	44.0	44.0			
HD 33283 b	Confirmed	0.33			0.33			0.99			18.1801	0.008	0.008	0.168			0.458	0.0656	0.0569				0.001953	2006	2015-02-16	156.0	9.6	9.6	2453560.0	0.3	0.3																			24.48	2.41	2.41										Published in a refereed paper	Radial Velocity	Radial Velocity	Theoretical			HD 33283	77.0041667	-26.7972222	8.05					86.0			0.366	0.05	0.05	1.24	0.1	0.1	1.2	0.1	0.1	G3V	3.2	2.3	2.3	5995.0	50.0	50.0			
HD 33564 b	Confirmed	9.1			9.1						388.0	3.0	3.0	1.1			0.34	0.02	0.02				0.052431	2005	2010-12-23	205.0	4.0	4.0	52603.0	8.0	8.0																															Published in a refereed paper	Radial Velocity					HD 33564	80.6375	79.2311111	5.08					20.98	0.2	0.2	-0.12			1.25	0.04	0.04	1.1			F6 V	3.0	0.3	0.3	6250.0					
HD 33844 b	Confirmed	1.96	0.12	0.12	1.96	0.12	0.12				551.4	7.8	7.8	1.6	0.02	0.02	0.15	0.07	0.07					2013	2015-12-24	211.0	28.0	28.0																						33.5	2.0	2.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 33844	78.150000012	-13.048888869						100.9						1.75							2.1	0.3	0.3	4827.0					
HD 33844 c	Confirmed	1.75	0.18	0.18	1.75	0.18	0.18				916.0	29.5	29.5	2.24	0.05	0.05	0.13	0.1	0.1					2015	2015-12-24	71.0	67.0	67.0																						25.4	2.9	2.9										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 33844	78.150000012	-13.048888869						100.9						1.75							2.1	0.3	0.3	4827.0					
HD 34445 b	Confirmed	0.79	0.07	0.07	0.79	0.07	0.07				1049.0	11.0	11.0	2.07	0.02	0.02	0.27	0.07	0.07				0.044516	2004	2014-08-30	104.0	19.0	19.0	2453781.0	48.0	48.0																															Submitted to a professional journal	Radial Velocity					HD 34445	79.4208333	7.3533333	7.31					46.5	1.5	1.5	0.14	0.04	0.04	1.07	0.02	0.02	1.38	0.08	0.08	G0	8.5	2.0	2.0	5836.0	44.0	44.0			
