name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-900 b,Confirmed,,,,,,,0.186,0.03,0.011,6.9913086,0.00001434,0.00001434,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-900,296.177297,46.99902,,,13.375,12.835,12.701,505,,,-0.01,0.167,0.15,0.78,0.04,0.03,0.73,0.03,0.03,,,,,4836,69.99,83.81,,,
Kepler-901 b,Confirmed,,,,,,,0.122,0.005,0.006,3.51749439,0.00000352,0.00000352,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-901,291.152951,40.887497,,,12.753,12.096,11.907,241,,,-0.3,0.143,0.138,0.59,0.04,0.04,0.57,0.02,0.03,,,,,4184,49.25,52.61,,,
Kepler-902 b,Confirmed,,,,,,,0.227,0.016,0.029,40.1099547,0.0001551,0.0001551,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-902,289.731692,46.953823,,,13.659,13.332,13.26,904,,,0,0.171,0.142,0.95,0.05,0.04,0.93,0.06,0.12,,,,,5647,88.98,73.28,,,
Kepler-903 b,Confirmed,,,,,,,0.179,0.032,0.031,10.3507721,0.00005128,0.00005128,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-903,288.771018,40.664176,,,13.385,13.065,12.993,829,,,0.05,0.156,0.144,0.98,0.05,0.05,0.97,0.08,0.17,,,,,5682,110.73,77.93,,,
Kepler-903 c,Confirmed,,,,,,,0.226,0.04,0.036,62.9228557,0.0007353,0.0007353,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-903,288.771018,40.664176,,,13.385,13.065,12.993,829,,,0.05,0.156,0.144,0.98,0.05,0.05,0.97,0.08,0.17,,,,,5682,110.73,77.93,,,
Kepler-904 b,Confirmed,,,,,,,0.158,0.021,0.053,3.02166863,0.00000893,0.00000893,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-904,288.822916,40.389049,,,13.368,13.094,13.046,1151,,,0.05,0.144,0.129,1.16,0.09,0.14,1.25,0.16,0.42,,,,,6160,149.12,119.73,,,
Kepler-905 b,Confirmed,,,,,,,0.126,0.004,0.004,5.08274652,0.00000837,0.00000837,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-905,290.051123,46.713375,,,12.697,12.372,12.264,521,,,0.09,0.09,0.085,0.95,0.03,0.02,0.86,0.02,0.02,,,,,5461,55.12,58.65,,,
Kepler-906 b,Confirmed,,,,,,,0.188,0.009,0.009,41.6979976,0.0001595,0.0001595,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-906,291.405561,40.125487,,,12.944,12.664,12.594,758,,,-0.09,0.101,0.104,1.06,0.04,0.04,1.02,0.04,0.04,,,,,6035,62.37,72.63,,,
Kepler-907 b,Confirmed,,,,,,,0.107,0.004,0.005,15.86621821,0.00006487,0.00006487,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-907,285.476589,41.63274,,,10.588,10.316,10.282,352,,,-0.15,0.1,0.12,1.08,0.06,0.07,1.38,0.05,0.06,,,,,6106,82.33,84.34,,,
Kepler-908 b,Confirmed,,,,,,,0.109,0.007,0.009,1.34059747,0.00000195,0.00000195,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-908,295.322517,39.376484,,,10.406,10.043,9.993,250,,,0.15,0.063,0.056,1.11,0.04,0.04,1.12,0.07,0.08,,,,,5973,95.84,89.43,,,
Kepler-909 b,Confirmed,,,,,,,0.131,0.01,0.014,13.93290318,0.00004462,0.00004462,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-909,289.506358,45.370998,,,10.586,10.327,10.274,318,,,0.08,0.075,0.082,1.17,0.04,0.04,1.23,0.08,0.13,,,,,6154,57.72,62.02,,,
Kepler-91 b,Confirmed,0.73,0.13,0.13,,,,1.384,0.054,0.011,6.24658,0.000082,0.000082,0.072,0.007,0.002,0.066,0.017,0.013,68.5,1.6,1,,2013,2014-08-15,316.8,74,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-91,285.670833347,44.116666669,12.9,,,,,1030,130,150,0.11,0.07,0.07,1.31,0.1,0.1,6.3,0.16,0.16,,4.86,2.13,2.13,4550,75,75,,,
